SNR_Target_dB, MSE_LS                , MSE_LMMSE             , Gain_dB
-5.0         , 0.17867645169119362   , 0.17731928740387862   , 0.03311341972603518
-5.0         , 0.18196581109786417   , 0.18234006524762314   , -0.008923082486532494
-5.0         , 0.09507416982388113   , 0.09418798177584319   , 0.040670507928722975
-5.0         , 0.24906435282433395   , 0.24722725217457855   , 0.03215231976380525
-5.0         , 0.07364956280874783   , 0.07379386018702196   , -0.008500558908839955
-5.0         , 0.04679573813158417   , 0.04623866821057657   , 0.052009851770143625
-5.0         , 0.07352092268041956   , 0.07210850504364848   , 0.08424456921665054
-5.0         , 0.15811806647258603   , 0.1554918818856232    , 0.07273775220514193
-5.0         , 0.07261640124118993   , 0.0719376571838304    , 0.040784322250958245
-5.0         , 0.10214467853150744   , 0.1011536073694274    , 0.042343706407424644
-5.0         , 0.7792760572994396    , 0.7687576810698932    , 0.059018649822183064
-5.0         , 0.06714844670476915   , 0.0664704276484507    , 0.044074980204324606
-5.0         , 0.038960185837452095  , 0.038164587968388244  , 0.08960441743603403
-5.0         , 0.032025399196152826  , 0.031598436333787484  , 0.0582896007916675
-5.0         , 0.20275747655813006   , 0.19936926031441382   , 0.07318679940620887
-5.0         , 0.5449443154809824    , 0.5356994454010057    , 0.07430929896375689
-5.0         , 0.11875519879868705   , 0.1162118114099       , 0.0940236036546624
-5.0         , 0.048238048206970384  , 0.047047715828375664  , 0.10851183966544106
-5.0         , 0.04767842145005322   , 0.04638970821470862   , 0.11900227361200669
-5.0         , 0.2495435741362876    , 0.24847973738930715   , 0.018554116680861675
-5.0         , 0.2690096502394179    , 0.2626903370809905    , 0.10323762021439115
-5.0         , 0.029383912879677034  , 0.028894075289612967  , 0.07300827601372853
-5.0         , 0.06655637938143176   , 0.06545739448045224   , 0.07230974317649252
-5.0         , 0.025461212234235964  , 0.02536939906110468   , 0.01568897040767639
-5.0         , 0.07868384244348081   , 0.07767964312405438   , 0.055783384156777374
-5.0         , 0.010014380327023741  , 0.010280157991763031  , -0.11375708163655464
-5.0         , 0.07941093208274029   , 0.07819122990894825   , 0.06722249146959908
-5.0         , 0.05524312294048076   , 0.05456349454280376   , 0.05376044516428428
-5.0         , 0.015813365349104203  , 0.01662338763997564   , -0.21695227378847035
-5.0         , 0.3156751827146869    , 0.3109623016464279    , 0.06532698363995162
6
-5.0         , 0.06006522223872746   , 0.0589775376064079    , 0.07936452083367981
-5.0         , 0.04089653905346744   , 0.039903624617443643  , 0.10674210265294902
-5.0         , 0.018289087223985073  , 0.018744304523864237  , -0.10677300137212595
-5.0         , 0.033203533522973706  , 0.03284134820912923   , 0.04763326269484418
-5.0         , 0.05301242694316231   , 0.052724691193381724  , 0.023636421917499362
-5.0         , 0.035994329823994815  , 0.035898239097899756  , 0.011609460499672366
-5.0         , 0.026551563901131642  , 0.026710744862154204  , -0.025958926838378985
-5.0         , 0.1449429090409611    , 0.13918776347959666   , 0.17595916980691428
-5.0         , 0.036382615592839125  , 0.036233076609388404  , 0.017887055862866947
-5.0         , 0.04338426595413956   , 0.044072444846313265  , -0.06834889202778875
-5.0         , 0.09496448156729226   , 0.09450714648613741   , 0.020965512345421693
-5.0         , 0.017434537641205904  , 0.016866544632626122  , 0.1438431461045492
-5.0         , 0.07243442843047057   , 0.07225751488479774   , 0.010620164908535734
-5.0         , 0.458400259034387     , 0.453562508217679     , 0.04607706077817976
-5.0         , 0.27087672317191286   , 0.26806784363143227   , 0.04526966242161154
-5.0         , 0.07856167957290776   , 0.07714940700312882   , 0.07878167399862038
-5.0         , 0.02271890718361565   , 0.022395522563450353  , 0.06226236809275692
-5.0         , 0.025703646249543282  , 0.025697466847906022  , 0.001044210867716415
-5.0         , 0.02341502434103444   , 0.02329153606697398   , 0.02296482571189625
-5.0         , 0.025665585517048742  , 0.025676881808317415  , -0.0019110562069519577
-5.0         , 0.025002138993957142  , 0.024977569569680044  , 0.004269879338342362
-5.0         , 0.08121756848152639   , 0.08073911032082755   , 0.025660237670237777
-5.0         , 0.04364602593811703   , 0.04308288498940749   , 0.05639928856146712
-5.0         , 0.13678244227810565   , 0.13554176354679356   , 0.03957221894212089
-5.0         , 0.02662498469045504   , 0.026627208933476938  , -0.000362793119173815
-5.0         , 0.12593861638911585   , 0.12303556727048752   , 0.10128241700095586
-5.0         , 0.183558013159728     , 0.1833665238690738    , 0.004532962036174202
-5.0         , 0.23707740052621742   , 0.23422753995314163   , 0.05252199582790412
-5.0         , 0.017445186306786823  , 0.017314300512679646  , 0.03270660875526839
-5.0         , 0.05076287638072394   , 0.050437741355086635  , 0.027905923205625016
-5.0         , 0.06277512933772701   , 0.06229395214402628   , 0.033417312835712816
-5.0         , 0.011459972089014189  , 0.011466649748763257  , -0.0025298719397702186
-5.0         , 0.014557456436924516  , 0.015110553012210448  , -0.16194859670722395
-5.0         , 0.13543575357036053   , 0.1336109186527682    , 0.05891378486440258
-5.0         , 0.05132575714796517   , 0.05087154333984076   , 0.038604512724911194
-5.0         , 0.09711254152450262   , 0.09557534815958135   , 0.06929431425424355
-5.0         , 0.03860343685572044   , 0.038174506776121046  , 0.04852536963045584
-5.0         , 0.10416958087864849   , 0.10319806764089844   , 0.04069351494669608

-5.0         , 0.07756836094102035   , 0.07709499540641625   , 0.02658427779872797
-5.0         , 0.4182101150553648    , 0.4122090477609146    , 0.06277012617411185
-5.0         , 0.2035182970078716    , 0.202069594949707     , 0.031024889940519038
